name,type,mana_cost,power,toughness,rarity,colors,text
Sire of Seven Deaths,Creature — Eldrazi,{7},7,7,mythic,,"First strike, vigilance
Menace, trample
Reach, lifelink
Ward—Pay 7 life."
"Arahbo, the First Fang",Legendary Creature — Cat Avatar,{2}{W},2,2,rare,W,"Other Cats you control get +1/+1.
Whenever Arahbo or another nontoken Cat you control enters, create a 1/1 white Cat creature token."
Armasaur Guide,Creature — Dinosaur,{4}{W},4,4,common,W,"Vigilance (Attacking doesn't cause this creature to tap.)
Whenever you attack with three or more creatures, put a +1/+1 counter on target creature you control."
Cat Collector,Creature — Human Citizen,{2}{W},3,2,uncommon,W,"When this creature enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Whenever you gain life for the first time during each of your turns, create a 1/1 white Cat creature token."
Celestial Armor,Artifact — Equipment,{2}{W},,,rare,W,"Flash (You may cast this spell any time you could cast an instant.)
When this Equipment enters, attach it to target creature you control. That creature gains hexproof and indestructible until end of turn.
Equipped creature gets +2/+0 and has flying.
Equip {3}{W} ({3}{W}: Attach to target creature you control. Equip only as a sorcery.)"
Claws Out,Instant,{3}{W}{W},,,uncommon,W,"Affinity for Cats (This spell costs {1} less to cast for each Cat you control.)
Creatures you control get +2/+2 until end of turn."
Crystal Barricade,Artifact Creature — Wall,{1}{W},0,4,rare,W,"Defender (This creature can't attack.)
You have hexproof. (You can't be the target of spells or abilities your opponents control.)
Prevent all noncombat damage that would be dealt to other creatures you control."
Dauntless Veteran,Creature — Human Soldier,{1}{W}{W},2,2,uncommon,W,"Whenever this creature attacks, creatures you control get +1/+1 until end of turn."
Dazzling Angel,Creature — Angel,{2}{W},2,3,common,W,"Flying
Whenever another creature you control enters, you gain 1 life."
Divine Resilience,Instant,{W},,,uncommon,W,"Kicker {2}{W} (You may pay an additional {2}{W} as you cast this spell.)
Target creature you control gains indestructible until end of turn. If this spell was kicked, instead any number of target creatures you control gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)"
